latitude,longitude,elevation,distance,frequency,ht,hr,distance_x,distance_y,tantennaelev,clutterheight,pathloss,tlatitude,tlongitude
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,99,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,100,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,103,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,100,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,105,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,103,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,104,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,117,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,114,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,116,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,114,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,117,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,114,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,116,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,111,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,116,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,114,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,116,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,113,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,115,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,116,33.64822,35.76479
33.65666667,35.7475,945,1.891259336,868,1.5,12,0.00844667,-0.01729,876.1,4,114,33.64822,35.76479
33.65666667,35.7475,945,3.258310794,868,1.5,12,0.01570667,-0.02924,859.5,4,139,33.64096,35.77674
33.65666667,35.7475,945,3.258310794,868,1.5,12,0.01570667,-0.02924,859.5,4,129,33.64096,35.77674
33.65666667,35.7475,945,3.258310794,868,1.5,12,0.01570667,-0.02924,859.5,4,135,33.64096,35.77674
33.65666667,35.7475,945,3.258310794,868,1.5,12,0.01570667,-0.02924,859.5,4,119,33.64096,35.77674
33.65666667,35.7475,945,3.258310794,868,1.5,12,0.01570667,-0.02924,859.5,4,135,33.64096,35.77674
33.65666667,35.7475,945,3.258310794,868,1.5,12,0.01570667,-0.02924,859.5,4,133,33.64096,35.77674
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,139.8,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,139.2,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,137.5,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,138.8,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,138,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,142,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,139,33.64089,35.77676
33.65666667,35.7475,945,3.264159875,868,1.5,12,0.01577667,-0.02926,859.8,4,139.8,33.64089,35.77676
33.65666667,35.7475,945,3.262157392,868,1.5,12,0.01575667,-0.02925,859.7,4,126,33.64091,35.77675
33.65666667,35.7475,945,3.262002494,868,1.5,12,0.01576667,-0.02924,859.8,4,137,33.6409,35.77674
33.65666667,35.7475,945,3.232785598,868,1.5,12,0.01502667,-0.02944,859,4,137,33.64164,35.77694
33.65666667,35.7475,945,3.113944198,868,1.5,12,0.01271667,-0.02957,859.4,4,138.8,33.64395,35.77707
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,124,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,129,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,129,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,120,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,137,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,120,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,127,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,123,33.65134,35.77779
